repo	version	path	tool_id	sha256
adefelicibus/mirplant	a2f4ef376417	mirplant2/siRNA.xml	plant_sirna_v1	ec6120c364c833a23f09baeacf47d0adecc91441df73d8f2d5f2bc2a4a1264f4
adefelicibus/mirplant	a2f4ef376417	mirplant2/siRNA_pipeline.xml	plant_sirna_pipeline_v1	46546109e6a366aaa7d33bd414febb07fbc4525ea871e2e970aa5b92b8d8f903
adhawan/sigqc	5e65b8e6c20c	sigQC.xml	sigqc	a497a53d9972fa2a29c31a93ec77335cec5340500c230568e9d1cdf5519430a0
agordon/datamash_wrapper	687db8c37dcf	datamash-ops.xml	DatamashOps	8f53f557a4f38503dbdfe7258775e5d874d3bf0499cfcdad2b48ef8bdd134b73
agordon/datamash_wrapper	687db8c37dcf	datamash-reverse.xml	DatamashReverse	16c95690c62175b3ce75217e52d35c24b474ea2429f880458f272679d1b78d2c
agordon/datamash_wrapper	687db8c37dcf	datamash-transpose.xml	DatamashTranspose	f86936d146378ef7bffe9494bd04fd378435716227a62f31fe2b80719359d0ae
ahosny/cnvsim	eca72016b5b3	cnv_sim.xml	cnvsim	2734e28cbce21adc1f0e70903ea70ff07186e4abaea15282f64cfa37ecf309c8
ajkarloss/agrvate	df13cfd55367	agrvate.xml	agrvate	1ea52344ecffdfa61d487e2e08258c32359b0216143dc4e5b7fb6d1f5b9315a7
ajkarloss/cgmlst_filtering_and_clustering	50edaa4d7ae5	cgmlst_filtering_and_clustering.xml	cgmlst_filtering_and_clustering	d1538b5ead562feabea1766e8b6d449ded470d19c65fb5f19e1c15d1af5de5e0
ajkarloss/sccmec	fe17d9cdf450	sccmec.xml	sccmec	846dcb9f88fb0a373a7358b96e0eefc20ce57dc2aa710b8be4d132f8aec6ab37
alan-blakely/filter_by_substring_match	b41c88a53578	submatch.xml	submatch	435aa0450fc85454f1f8f3eacde23bb4a740ab85823650083500bec02efca6e1
alenail/map_to_known_genes	3f12a2b0af50	map_to_known_genes/map_to_known_genes.xml	chipsequtil_maptoknowngenes	cc1253ef375b483dc0d7140202b53a6a44dbc02e2b2ad2f498f4df797a6b9439
alenail/pieplot_macs	8dae9fdd2afe	pieplot_macs/pieplots_macs.xml	pieplots_macs	c9e12d83ad50dd22411015efa0bf7852bf27ed299084ccf9b102eab6f1cc6e1f
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/AnnotateGenes/annotateGenes_wrapper.xml	annotateGenes	0813270ffbf4530cc6030f3c2e9a032d1be29a7fa71afdcbf8dd1cd13c1d1efb
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/AnnotatePeaks/annotatePeaks_wrapper.xml	annotatePeaks	00d5d0b052edddc792819309c6069a09726f605e89d5438e5cf5848251baf22c
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/CreateControlSubSet/createControlSubSet_wrapper.xml	createControlSubset	009fa013f454acba72791f764ecc1b9f5be35bbbb4aabcc207bb1a1dc55a8a2c
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/ExtractCentralRegions/extractCentralRegions_wrapper.xml	extractCentralRegions	ecfe5e1b970eeb22e21a68db8561a4020c3104586c8aa8f0f4efc557540a0e64
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/FastaFromBed/fastaFromBed_wrapper.xml	fastaFromBed	d9cd9fd7482e767f39b9d09f280a7d7efdb1b87013ca7b3c2b19164a4dfdfc8c
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/FilterControlPeaks/FilterControlPeaks.xml	filterControl	a9ebec95c86d474f78498014e58440ab5228b44eee237f5006f367ef344168c1
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/FindPeaks/findPeaks_wrapper.xml	peakcalling_findpeaks	2534d036cdb09f6fc442407b9da1bf874a78e01508f8a54cd58aff41a82af16b
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/IntersectBed/bedtools_intersectBed.xml	bedtools_intersectBed	bdfe8a8a6874994b6ec3248fbe9a7f7ea7118aa76acd3ad93686a87db8b2dac3
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/MakeStatsCHiPSeq/makeStatsChIPSeq_wrapper.xml	makeStatsChIPSeq	6c4e43168d6bf2f71f6c598c9f9751300a339377a6c78690534fced86068facf
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/MakeTSSdist/makeTSSdist_wrapper.xml	makeTSSdist	120910f344af28715616515bbc84faa55dd31be6655bfe242160b6fedc1a5534
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/MotifDiscovery/chipmunk.xml	chipmunk_chiphorde	60f5db98203bae22417e400783a4e24f7314aad5e8781188b7c9d66852bc2a0b
alermine/nebula	0b8b39c2ce01	[APliBio]Nebula tools suite/Nebula/Peak2Bed/peak2bed.xml	peak2bed	254dfbfa32317245f11fe84a2d1809af47df6f6eb5a060d74f914e5cf9bd2e34
alermine/upload_local_file	6b590f108b48	upload_local_file/upload_local_file.xml	upload_local_file	f59d1d5925b89d292b9a0e361f64eac7c577bc3e3c1c796ed3d5ea2985eca8c5
alexmonell/genome_skimming_workflow_tools	ae30fba35d21	apples_after_skmer.xml	Apples after Skmer	d66e46f1d8ac8b18d5106411aebc2e24815de59e2789a109c6d963a4abc66d8e
alexmonell/genome_skimming_workflow_tools	ae30fba35d21	backbone.xml	Backbone for APPLES	7147c6a7f704c3150787ef6d08b59fc8446ad66e49667b7b0ef435c53b3a04b7
alonie/ensembl_vep	9c00df4b30f5	ensemb_rep_gvl-2bc9b66ada89/variant_effect_predictor/variant_effect_predictor.xml	ensembl	359c27d654594363cc941f620aad36400266335fc77a251cdf68bda93781d499
althonos/gecco	a41a2bcb0b91	gecco.xml	gecco	cc3c549f37ec479877e6a05804fc10382d63333ec65f87367bb2337f619e975e
alyssa/seqkit_seq	871ff25d128c	barcoding.xml	barcoding_fastq_files	eca61b5d143e8d2c4a81537168f41c66bdc14f0d27d6dbc922efeae90285af99
